state,action,q_value
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['.' '.' '.']]",1,-0.09999999999999995
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['.' '.' '.']]",2,-0.09999999999999995
"[['X' 'O' 'X']
 ['O' 'X' 'O']
 ['.' '.' '.']]",2,2.9999999999999982
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' '.' '.']]",1,-0.0999999876797669
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' '.' '.']]",2,-0.0999999876797669
"[['X' 'O' 'X']
 ['O' 'X' 'X']
 ['O' 'O' '.']]",2,2.9999996303930065
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",2,-0.47134735731120786
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",1,-0.5607600234189559
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' 'X' 'O']]",1,0.9996670103634684
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",2,-0.5724114741865453
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",1,2.999999700618335
"[['X' 'O' 'X']
 ['O' 'X' '.']
 ['O' 'X' 'O']]",1,0.9999950781191616
"[['X' 'O' 'X']
 ['O' 'X' 'O']
 ['O' 'X' '.']]",2,2.9999892358466065
"[['X' 'O' 'X']
 ['.' '.' '.']
 ['O' '.' '.']]",1,-0.09999999999999995
"[['X' 'O' 'X']
 ['.' '.' '.']
 ['O' '.' '.']]",2,-0.09999999999999995
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' 'O' '.']]",2,-0.5736176021712271
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' 'O' '.']]",1,-0.42423601291732993
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' '.' '.']]",1,-0.5668157676057933
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' '.' '.']]",2,-0.09999999999999995
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' 'X' 'O']]",1,0.9999999999999996
"[['X' 'O' 'X']
 ['X' 'O' 'O']
 ['O' 'X' '.']]",2,0.9999999999984348
"[['X' 'O' 'X']
 ['.' '.' '.']
 ['O' 'X' 'O']]",1,-0.09999999935522354
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['O' 'X' '.']]",2,-0.09998407320891148
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['O' 'X' '.']]",1,-0.09998566588802033
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['O' 'X' 'X']]",1,2.999522196267344
"[['X' 'O' 'X']
 ['X' 'X' 'O']
 ['O' 'O' '.']]",2,2.999999999999984
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['.' '.' '.']]",1,-0.09942735831029777
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['.' '.' '.']]",2,2.9999999999999982
"[['X' 'O' 'O']
 ['X' 'X' 'O']
 ['.' '.' '.']]",2,2.760700670769382
"[['X' 'O' 'O']
 ['X' 'X' '.']
 ['O' '.' '.']]",2,-0.09353891811077335
"[['X' 'O' 'O']
 ['X' 'X' '.']
 ['O' '.' '.']]",1,2.999935455800703
"[['X' 'O' 'O']
 ['X' 'X' 'O']
 ['O' 'X' '.']]",2,2.9997943211602762
"[['X' 'O' 'O']
 ['X' 'X' '.']
 ['O' 'X' 'O']]",1,2.999522196267344
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",2,2.9999999999999982
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",0,-0.09721871610556307
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['.' '.' '.']]",1,-0.09528987130275376
"[['X' 'O' '.']
 ['X' 'O' 'X']
 ['O' '.' '.']]",2,-2.4027830971763766
"[['X' 'O' '.']
 ['X' 'O' 'X']
 ['O' 'X' 'O']]",0,0.9980033218889841
"[['X' 'O' 'X']
 ['X' 'O' 'O']
 ['.' '.' '.']]",2,2.31369622635117
"[['X' 'O' 'O']
 ['X' 'O' 'X']
 ['.' '.' '.']]",2,1.837738533
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",0,-0.09999999999999995
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",1,-0.09999999999999995
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' '.' '.']]",2,-0.09999999999999995
"[['X' 'O' '.']
 ['X' 'X' '.']
 ['O' 'O' '.']]",0,-0.41931419780806123
"[['X' 'O' '.']
 ['X' 'X' '.']
 ['O' 'O' '.']]",1,2.996069938474087
"[['X' 'O' '.']
 ['X' 'X' '.']
 ['O' 'O' '.']]",2,1.2285300000000001
"[['X' 'O' '.']
 ['X' 'X' 'O']
 ['O' '.' '.']]",2,-0.09977814687655379
"[['X' 'O' '.']
 ['X' 'X' 'O']
 ['O' '.' '.']]",0,-0.09977814687655379
"[['X' 'O' '.']
 ['X' 'X' 'O']
 ['O' 'X' 'O']]",0,0.997534965295042
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' 'X' 'O']]",1,-0.0998003321888984
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' 'X' 'O']]",0,-0.0998003321888984
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",1,-1.9129446615541343
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",0,-0.0928210201230815
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",2,-1.108851
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['O' 'X' '.']]",1,-0.09999059538913013
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['O' 'X' '.']]",2,-1.5018549
"[['X' 'O' '.']
 ['X' 'O' 'O']
 ['O' 'X' 'X']]",0,0.1
"[['X' 'O' 'O']
 ['.' '.' '.']
 ['X' '.' '.']]",1,2.9999999999999982
"[['X' 'O' 'O']
 ['.' '.' '.']
 ['X' '.' '.']]",2,-0.09982029897000856
"[['X' 'O' 'O']
 ['O' '.' '.']
 ['X' 'X' '.']]",1,-0.040951
"[['X' 'O' 'O']
 ['O' '.' '.']
 ['X' 'X' '.']]",2,2.7341118564104248
"[['X' 'O' 'O']
 ['O' 'X' 'O']
 ['X' 'X' '.']]",2,0.5700000000000001
